City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,Mount Darwin,-16.7725,31.5838,57.02,88,7,1.01,ZW,2022-04-30 04:05:10
115,Belyy Yar,53.6039,91.3903,64.85,31,0,2.24,RU,2022-04-30 04:05:10
116,Itacoatiara,-3.1431,-58.4442,73.78,97,100,3.24,BR,2022-04-30 04:03:43
117,Sarangani,5.4033,125.4636,79.25,81,100,3.53,PH,2022-04-30 04:05:11
118,Agra,27.1833,78.0167,103.62,9,8,12.08,IN,2022-04-30 04:05:11
119,Lobito,-12.3481,13.5456,76.21,88,91,3.04,AO,2022-04-30 04:05:11
120,Arraial Do Cabo,-22.9661,-42.0278,75.11,87,3,9.98,BR,2022-04-30 04:01:25
121,Georgetown,5.4112,100.3354,89.53,70,40,5.75,MY,2022-04-30 04:05:12
122,Auki,-8.7676,160.7034,82.83,75,93,2.48,SB,2022-04-30 04:05:12
123,Evensk,61.95,159.2333,41.54,60,20,10.04,RU,2022-04-30 04:05:13
124,Leshukonskoye,64.8989,45.7622,27.0,78,65,6.2,RU,2022-04-30 04:05:13
125,Ejea De Los Caballeros,42.1263,-1.1372,55.62,89,100,7.85,ES,2022-04-30 04:05:13
126,Balkanabat,39.5108,54.3671,76.55,45,100,2.26,TM,2022-04-30 04:05:14
127,Poum,-20.2333,164.0167,77.32,71,49,10.78,NC,2022-04-30 04:05:14
128,Saint-Francois,46.4154,3.9054,44.04,100,100,3.44,FR,2022-04-30 04:05:15
129,Saint George,37.1041,-113.5841,70.39,17,0,6.91,US,2022-04-30 04:05:14
130,Reus,41.1561,1.1069,60.55,69,0,2.3,ES,2022-04-30 04:05:15
131,Rawalpindi,33.6007,73.0679,89.24,33,3,5.01,PK,2022-04-30 04:01:32
132,Baijiantan,45.6333,85.1833,71.47,12,65,12.95,CN,2022-04-30 04:05:16
133,Ancud,-41.8697,-73.8203,42.58,82,78,1.7,CL,2022-04-30 04:05:16
134,Oruro,-17.9833,-67.15,47.52,72,90,7.14,BO,2022-04-30 04:05:16
135,Ostrovnoy,68.0531,39.5131,21.97,85,100,17.92,RU,2022-04-30 04:05:17
136,Sao Joao Da Barra,-21.6403,-41.0511,71.8,88,2,5.19,BR,2022-04-30 04:05:17
137,Tasiilaq,65.6145,-37.6368,28.38,88,59,7.02,GL,2022-04-30 04:05:17
138,Imeni Poliny Osipenko,52.4201,136.4853,43.45,42,32,9.51,RU,2022-04-30 04:05:33
139,Bandarbeyla,9.4942,50.8122,84.2,74,26,1.88,SO,2022-04-30 04:05:34
140,Semnan,35.5729,53.3971,65.1,55,100,10.47,IR,2022-04-30 04:05:34
141,Deputatskiy,69.3,139.9,22.01,79,34,4.07,RU,2022-04-30 04:05:34
142,Fairbanks,64.8378,-147.7164,57.16,31,0,0.0,US,2022-04-30 04:05:35
143,Shangqiu,34.45,115.65,67.06,39,100,15.97,CN,2022-04-30 04:05:35
144,Kamra,33.7473,73.5111,82.96,24,2,4.61,PK,2022-04-30 04:05:35
145,Panguna,-6.3164,155.4848,75.45,85,56,1.72,PG,2022-04-30 04:05:36
146,Esperance,-33.8667,121.9,65.16,61,23,7.99,AU,2022-04-30 04:05:36
147,Khatanga,71.9667,102.5,16.09,88,99,16.82,RU,2022-04-30 04:05:37
148,Dikson,73.5069,80.5464,18.25,93,100,20.04,RU,2022-04-30 04:05:37
149,Krasnoselkup,65.7,82.4667,22.75,74,4,9.31,RU,2022-04-30 04:05:37
150,Thunder Bay,48.4001,-89.3168,34.32,84,99,6.46,CA,2022-04-30 04:03:22
151,Saskylakh,71.9167,114.0833,32.59,94,100,14.7,RU,2022-04-30 04:03:19
152,Lazaro Cardenas,17.9583,-102.2,75.78,76,8,4.27,MX,2022-04-30 04:05:38
153,Matveyevka,52.15,56.1833,47.39,60,100,10.6,RU,2022-04-30 04:05:38
154,Havelock,34.8791,-76.9013,64.35,82,73,2.86,US,2022-04-30 04:05:39
155,Port Hawkesbury,45.6169,-61.3485,39.18,98,100,5.75,CA,2022-04-30 04:05:39
156,Kanye,-24.9667,25.3327,55.76,75,55,4.03,BW,2022-04-30 04:05:39
157,Adrar,20.5022,-10.0711,70.74,20,18,9.84,MR,2022-04-30 04:05:40
158,Muncar,-8.4333,114.3333,86.05,68,76,4.43,ID,2022-04-30 04:05:40
159,Port Blair,11.6667,92.75,87.85,61,99,3.31,IN,2022-04-30 04:05:40
160,Acapulco,16.8634,-99.8901,80.42,83,20,6.91,MX,2022-04-30 04:03:29
161,Palauig,15.435,119.9045,87.98,62,100,8.03,PH,2022-04-30 04:05:41
162,Cabo San Lucas,22.8909,-109.9124,78.1,62,21,14.76,MX,2022-04-30 04:05:41
163,Talnakh,69.4865,88.3972,16.21,86,81,8.52,RU,2022-04-30 04:05:42
164,Colac,-38.3333,143.5833,56.17,57,84,12.93,AU,2022-04-30 04:05:42
165,Nanortalik,60.1432,-45.2371,37.54,88,82,4.14,GL,2022-04-30 04:05:43
166,Itamaraca,-7.7478,-34.8256,77.05,80,87,7.2,BR,2022-04-30 04:05:43
167,Mahebourg,-20.4081,57.7,78.26,69,2,10.33,MU,2022-04-30 04:04:16
168,Bethel,41.3712,-73.414,49.77,29,0,4.61,US,2022-04-30 04:05:43
169,Hamilton,39.1834,-84.5333,63.45,46,100,11.5,US,2022-04-30 04:05:44
170,Broome,42.2506,-75.833,36.55,70,1,1.01,US,2022-04-30 04:05:44
171,Port Hardy,50.6996,-127.4199,48.38,77,100,16.37,CA,2022-04-30 04:05:45
172,Kaspiyskiy,45.3929,47.3707,57.09,84,100,10.98,RU,2022-04-30 04:05:45
173,Jan Kempdorp,-27.9225,24.8305,50.79,34,1,2.53,ZA,2022-04-30 04:05:45
174,Flinders,-34.5833,150.8552,68.18,71,100,8.01,AU,2022-04-30 04:05:46
175,Marzuq,14.4,46.4667,75.34,52,2,0.36,YE,2022-04-30 04:04:20
176,Sioux Lookout,50.1001,-91.917,36.27,99,100,6.62,CA,2022-04-30 04:05:46
177,Praia Da Vitoria,38.7333,-27.0667,61.75,98,20,11.9,PT,2022-04-30 04:05:46
178,Kokopo,-4.352,152.2633,82.9,69,97,2.62,PG,2022-04-30 04:05:47
179,Gornyy,55.1153,83.9059,65.23,40,100,14.0,RU,2022-04-30 04:05:47
180,Mar Del Plata,-38.0023,-57.5575,45.88,73,0,5.75,AR,2022-04-30 04:05:48
181,Nabire,-3.3667,135.4833,81.28,87,100,3.89,ID,2022-04-30 04:05:48
182,Sitka,57.0531,-135.33,49.89,46,0,3.44,US,2022-04-30 04:05:48
183,Kosh-Agach,50.0,88.6667,48.92,26,56,2.57,RU,2022-04-30 04:05:49
184,Saldanha,-33.0117,17.9442,57.9,84,60,6.62,ZA,2022-04-30 04:06:04
185,Chuy,-33.6971,-53.4616,49.41,77,14,2.75,UY,2022-04-30 04:06:05
186,Magadan,59.5667,150.8,47.53,60,17,4.65,RU,2022-04-30 04:06:05
187,Preeceville,51.95,-102.6677,38.05,93,100,5.59,CA,2022-04-30 04:06:05
188,Nyurba,63.2842,118.3319,44.56,79,95,12.5,RU,2022-04-30 04:06:06
189,Alta Floresta,-9.8756,-56.0861,69.46,94,97,2.06,BR,2022-04-30 04:01:24
190,Ahipara,-35.1667,173.1667,66.49,69,47,10.85,NZ,2022-04-30 04:06:06
191,Namibe,-15.1961,12.1522,72.05,77,35,3.96,AO,2022-04-30 04:06:07
